move,win,draw,lose,centipawns,moves_to_force_mate,best_line_1_move,best_line_1_centipawns,best_line_1_moves_to_force_mate,best_line_2_move,best_line_2_centipawns,best_line_2_moves_to_force_mate,best_line_3_move,best_line_3_centipawns,best_line_3_moves_to_force_mate,game_id,move_number
d2d4,0.019,0.896,0.085,36.0,,e2e4,44.0,,d2d4,33.0,,g1f3,24.0,,1000,0
d7d5,0.101,0.883,0.016,45.0,,d7d5,45.0,,g8f6,45.0,,e7e6,46.0,,1000,1
c2c4,0.018,0.894,0.088,38.0,,c2c4,47.0,,g1f3,38.0,,e2e3,17.0,,1000,2
e7e6,0.107,0.879,0.014,48.0,,d5c4,44.0,,c7c6,45.0,,e7e6,46.0,,1000,3
a2a3,0.031,0.919,0.05,11.0,,b1c3,37.0,,g1f3,33.0,,c4d5,22.0,,1000,4
d5c4,0.042,0.922,0.036,3.0,,g8f6,13.0,,d5c4,14.0,,c7c5,14.0,,1000,5
b1c3,0.26,0.735,0.005,-96.0,,e2e3,14.0,,e2e4,-21.0,,g1f3,-21.0,,1000,6
g8f6,0.041,0.924,0.035,3.0,,a7a6,-65.0,,c7c6,-30.0,,b8c6,-8.0,,1000,7
e2e4,0.03,0.923,0.047,9.0,,e2e4,14.0,,e2e3,0.0,,d1a4,-62.0,,1000,8
f8e7,0.272,0.724,0.004,98.0,,c7c5,4.0,,e6e5,21.0,,b7b5,31.0,,1000,9
f1c4,0.006,0.789,0.205,81.0,,f1c4,90.0,,e4e5,81.0,,c1f4,56.0,,1000,10
e6e5,0.287,0.709,0.004,100.0,,c7c5,58.0,,e8g8,106.0,,e6e5,111.0,,1000,11
d4d5,0.003,0.638,0.359,113.0,,g1f3,113.0,,g1e2,83.0,,d4d5,73.0,,1000,12
c7c6,0.389,0.609,0.002,118.0,,e8g8,94.0,,a7a6,99.0,,c7c6,107.0,,1000,13
h2h3,0.005,0.798,0.197,78.0,,g1f3,103.0,,h2h3,68.0,,c4a2,61.0,,1000,14
c6d5,0.177,0.817,0.006,73.0,,c6d5,65.0,,e8g8,68.0,,b7b5,72.0,,1000,15
e4d5,0.007,0.843,0.15,64.0,,e4d5,69.0,,c4d5,28.0,,c4b5,-52.0,,1000,16
e8g8,0.155,0.838,0.007,66.0,,e8g8,60.0,,e7d6,93.0,,h7h6,116.0,,1000,17
g1f3,0.004,0.773,0.223,84.0,,g1f3,71.0,,c1e3,50.0,,c4a2,5.0,,1000,18
e7d6,0.253,0.743,0.004,90.0,,e5e4,87.0,,e7d6,94.0,,c8f5,128.0,,1000,19
e1g1,0.003,0.74,0.257,90.0,,e1g1,99.0,,c4a2,92.0,,c1e3,58.0,,1000,20
e5e4,0.278,0.719,0.003,94.0,,e5e4,86.0,,h7h6,99.0,,c8f5,114.0,,1000,21
f3h2,1.0,0.0,0.0,-569.0,,f3d4,137.0,,f3d2,73.0,,f3g5,0.0,,1000,22
d8c7,0.0,0.0,1.0,-578.0,,d8c7,-585.0,,d6h2,-538.0,,c8h3,-120.0,,1000,23
g2g3,1.0,0.0,0.0,-723.0,,c4a2,-505.0,,d1e2,-543.0,,h2g4,-599.0,,1000,24
c7c4,0.0,0.0,1.0,-731.0,,c7c4,-717.0,,c8h3,-433.0,,a7a6,-287.0,,1000,25
