move,win,draw,lose,centipawns,moves_to_force_mate,best_line_1_move,best_line_1_centipawns,best_line_1_moves_to_force_mate,best_line_2_move,best_line_2_centipawns,best_line_2_moves_to_force_mate,best_line_3_move,best_line_3_centipawns,best_line_3_moves_to_force_mate,game_id,move_number
e1d1,1.0,0.0,0.0,-1407.0,,e1d1,-1284.0,,e1e2,-1284.0,,e1d2,-1861.0,,311,32
g3g2,0.0,0.0,1.0,-1222.0,,g3g4,-1356.0,,f6d5,-1340.0,,g3g2,-1172.0,,311,33
b1d2,1.0,0.0,0.0,-1972.0,,d5c4,-1192.0,,d5c6,-1385.0,,d5f7,-4180.0,,311,34
h8h1,0.0,0.0,1.0,-1178.0,,f6d5,,-6.0,g2g4,-1884.0,,h8h2,-1687.0,,311,35
d5c6,1.0,0.0,0.0,-1193.0,,d5c6,-1223.0,,d5c4,-1469.0,,f1h1,-1476.0,,311,36
b7c6,0.0,0.0,1.0,-1225.0,,b7c6,-1256.0,,e8e7,-969.0,,e8f8,-969.0,,311,37
b2b3,1.0,0.0,0.0,,-6.0,f1h1,-1284.0,,c2c3,-1652.0,,a2a3,-1652.0,,311,38
h1f1,0.0,0.0,1.0,,-5.0,h1f1,,-6.0,f6d5,,-6.0,h1h2,-1492.0,,311,39
d2f1,1.0,0.0,0.0,,-5.0,d2f1,,-5.0,d2f1,,-5.0,d2f1,,-5.0,311,40
g2f1,0.0,0.0,1.0,,-4.0,g2f1,,-5.0,f6d5,-1207.0,,f6g4,-1123.0,,311,41
d1d2,1.0,0.0,0.0,,-4.0,d1d2,,-4.0,d1d2,,-4.0,d1d2,,-4.0,311,42
f1f2,0.0,0.0,1.0,-1507.0,,f6d5,,-4.0,f1f2,-1276.0,,a7a5,-1225.0,,311,43
d2c3,1.0,0.0,0.0,-1569.0,,d2c3,-6485.0,,d2d1,,-5.0,d2d1,,-5.0,311,44
a8b8,0.0,0.0,1.0,-1130.0,,f6d5,-6485.0,,c6c5,-1218.0,,a7a5,-1130.0,,311,45
c1a3,1.0,0.0,0.0,-1568.0,,d4d5,-1530.0,,a2a3,-3626.0,,c3b2,-5878.0,,311,46
f6g4,0.0,0.0,1.0,-1554.0,,f6d5,-7097.0,,f2e3,-2507.0,,e8d7,-1047.0,,311,47
a1h1,1.0,0.0,0.0,-1569.0,,a1c1,-1515.0,,a3c5,-1541.0,,d4d5,-1545.0,,311,48
f2e3,0.0,0.0,1.0,-1210.0,,g4e3,-1623.0,,f2e3,-1233.0,,a7a5,-1142.0,,311,49
c3c4,1.0,0.0,0.0,,-6.0,c3b2,-1454.0,,c3c4,,-6.0,c3c4,,-6.0,311,50
e8d7,0.0,0.0,1.0,-2357.0,,e3d2,,-6.0,e3e2,-2376.0,,e8d7,-1545.0,,311,51
h1b1,1.0,0.0,0.0,,-3.0,a3c1,-2711.0,,a3b4,-2877.0,,h1h7,-3091.0,,311,52
e3f3,0.0,0.0,1.0,-3115.0,,e3d2,,-3.0,e3e2,-2215.0,,c6c5,-1630.0,,311,53
a3c5,1.0,0.0,0.0,,-7.0,a3c1,-6409.0,,b1g1,,-13.0,b1h1,,-10.0,311,54
a7a6,0.0,0.0,1.0,-7008.0,,g4e3,,-7.0,a7a5,-1583.0,,e4e3,-1553.0,,311,55
a2a4,1.0,0.0,0.0,,-7.0,d4d5,-6749.0,,c5b6,-7022.0,,b1g1,-7478.0,,311,56
e4e3,0.0,0.0,1.0,-2066.0,,g4e3,,-7.0,a6a5,-1610.0,,f3f2,-1380.0,,311,57
c2c3,1.0,0.0,0.0,,-1.0,c5f8,-2953.0,,c5b4,-2961.0,,c4c3,-3190.0,,311,58
e3e2,0.0,0.0,1.0,,-10.0,f3e2,,-1.0,g4e5,,-2.0,f3d5,,-7.0,311,59
b1g1,1.0,0.0,0.0,,-2.0,b3b4,,-8.0,c5b6,,-7.0,c5d6,,-5.0,311,60
f3e4,0.0,0.0,1.0,,-5.0,g4e5,,-2.0,e2e1b,,-4.0,e2e1n,,-4.0,311,61
g1e1,1.0,0.0,0.0,,-1.0,c5b6,,-5.0,g1g4,,-4.0,b3b4,,-3.0,311,62
g4f2,0.0,0.0,1.0,,-2.0,g4e3,,-1.0,g4e5,,-1.0,a6a5,,-4.0,311,63
c5a3,1.0,0.0,0.0,,-1.0,c5b6,,-2.0,b3b4,,-1.0,c5d6,,-1.0,311,64
f2d3,0.0,0.0,1.0,,-4.0,e4d5,,-1.0,e4d3,,-2.0,e4e6,,-2.0,311,65
b3b4,1.0,0.0,0.0,,-4.0,b3b4,,-4.0,e1b1,,-2.0,e1c1,,-2.0,311,66
d3e1,0.0,0.0,1.0,,-3.0,d3e1,,-4.0,a6a5,-6987.0,,b8b4,-3215.0,,311,67
b4b5,1.0,0.0,0.0,,-3.0,c4b3,,-3.0,b4b5,,-3.0,a4a5,,-1.0,311,68
e1c2,0.0,0.0,1.0,,-5.0,e4d5,,-3.0,b8b5,,-3.0,a6b5,,-4.0,311,69
b5c6,1.0,0.0,0.0,,-4.0,c4b3,,-5.0,a3b2,,-5.0,a3c5,,-4.0,311,70
d7c6,0.0,0.0,1.0,,-3.0,e4c6,,-4.0,d7c6,,-4.0,d7e6,,-4.0,311,71
a3c5,1.0,0.0,0.0,,-1.0,a3b4,,-3.0,a3c1,,-2.0,a4a5,,-1.0,311,72
e2e1q,0.0,0.0,1.0,,-2.0,c2e3,,-1.0,e2e1n,,-2.0,e2e1q,,-3.0,311,73
a4a5,1.0,0.0,0.0,,-1.0,c5b6,,-2.0,c5b4,,-2.0,a4a5,,-1.0,311,74
e4e3,0.0,0.0,1.0,,-3.0,e4e2,,-1.0,e1f1,,-1.0,e1e2,,-1.0,311,75
d4d5,1.0,0.0,0.0,,-3.0,d4d5,,-3.0,c5b4,,-2.0,c5a3,,-1.0,311,76
c6d7,0.0,0.0,1.0,,-2.0,c6d7,,-3.0,c6b7,,-4.0,c6b7,,-4.0,311,77
c5e3,1.0,0.0,0.0,,-2.0,d5d6,,-2.0,c5e3,,-2.0,c5d4,,-2.0,311,78
c2e3,0.0,0.0,1.0,,-4.0,e1f1,,-2.0,e1e2,,-2.0,e1e3,,-3.0,311,79
c4c5,1.0,0.0,0.0,,-1.0,c4d3,,-4.0,c4d4,,-4.0,c4c5,,-1.0,311,80
e1c3,,,,,0.0,e1c3,,-1.0,e3f5,,-3.0,e1f1,,-3.0,311,81
e2e4,0.02,0.9,0.08,33.0,,e2e4,44.0,,d2d4,33.0,,g1f3,24.0,,312,0
e7e5,0.088,0.894,0.018,38.0,,c7c5,32.0,,e7e5,43.0,,e7e6,52.0,,312,1
g1f3,0.02,0.9,0.08,33.0,,g1f3,41.0,,f1e2,6.0,,b1c3,0.0,,312,2
b8c6,0.091,0.892,0.017,40.0,,b8c6,58.0,,g8f6,76.0,,d7d6,78.0,,312,3
f1b5,0.015,0.886,0.099,44.0,,f1b5,50.0,,f1c4,27.0,,b1c3,10.0,,312,4
g8e7,0.18,0.813,0.007,75.0,,g8e7,49.0,,g8f6,61.0,,a7a6,63.0,,312,5
d2d4,0.008,0.834,0.158,68.0,,b1c3,83.0,,e1g1,74.0,,d2d4,61.0,,312,6
e5d4,0.186,0.807,0.007,77.0,,e5d4,63.0,,c6d4,72.0,,d7d6,110.0,,312,7
f3d4,0.01,0.863,0.127,57.0,,f3d4,68.0,,e1g1,56.0,,b5a4,25.0,,312,8
c6d4,0.209,0.785,0.006,83.0,,a7a6,64.0,,c6d4,74.0,,e7g6,85.0,,312,9
d1d4,0.008,0.837,0.155,67.0,,d1d4,67.0,,b5c4,-536.0,,b5a4,-641.0,,312,10
a7a6,0.233,0.762,0.005,88.0,,e7c6,58.0,,c7c6,64.0,,a7a6,88.0,,312,11
b5a4,0.017,0.906,0.077,33.0,,b5e2,91.0,,b5c4,54.0,,b5d3,40.0,,312,12
b7b5,0.085,0.9,0.015,38.0,,e7c6,44.0,,b7b5,51.0,,c7c6,100.0,,312,13
a4b3,0.009,0.864,0.127,57.0,,a4b3,37.0,,c1f4,-523.0,,c1g5,-523.0,,312,14
e7c6,0.224,0.771,0.005,85.0,,c8b7,43.0,,d7d6,62.0,,e7c6,66.0,,312,15
d4d5,0.002,0.582,0.416,121.0,,d4d5,105.0,,d4d3,63.0,,d4d1,48.0,,312,16
d8f6,0.315,0.682,0.003,103.0,,d8f6,109.0,,d8e7,144.0,,d8h4,347.0,,312,17
c1g5,0.003,0.734,0.263,92.0,,c1g5,112.0,,e1g1,37.0,,b1c3,27.0,,312,18
f6g6,0.276,0.721,0.003,95.0,,f6g6,95.0,,f6e6,97.0,,c6e7,395.0,,312,19
e1g1,0.027,0.932,0.041,8.0,,b1c3,127.0,,f2f3,73.0,,g5f4,25.0,,312,20
h7h6,0.383,0.615,0.002,113.0,,f8d6,43.0,,f8b4,70.0,,c8b7,98.0,,312,21
g5f4,0.003,0.737,0.26,90.0,,g5f4,99.0,,g5h4,67.0,,g5e3,41.0,,312,22
c8b7,0.416,0.582,0.002,117.0,,c8b7,122.0,,f8e7,196.0,,a8a7,237.0,,312,23
f4c7,0.002,0.678,0.32,101.0,,b1c3,104.0,,f4c7,102.0,,f1d1,88.0,,312,24
f8e7,0.96,0.04,0.0,250.0,,a8c8,91.0,,f8e7,172.0,,c6d8,236.0,,312,25
c2c4,0.132,0.861,0.007,-58.0,,f1d1,262.0,,b1c3,174.0,,d5d3,154.0,,312,26
b5b4,0.769,0.231,0.0,173.0,,a8c8,-59.0,,c6a5,-18.0,,c6d8,71.0,,312,27
c7a5,0.998,0.002,0.0,-363.0,,b1d2,173.0,,b3a4,168.0,,f1e1,153.0,,312,28
c6a5,0.0,0.003,0.997,-346.0,,c6a5,-326.0,,a8c8,-83.0,,e8g8,0.0,,312,29
d5a5,0.997,0.003,0.0,-336.0,,d5a5,-276.0,,d5e5,-869.0,,d5f5,-870.0,,312,30
g6e4,0.0,0.004,0.996,-325.0,,g6e4,-371.0,,b7e4,-117.0,,a8c8,-51.0,,312,31
b1d2,1.0,0.0,0.0,,-1.0,f2f3,-310.0,,a5d5,-898.0,,a5d8,-1584.0,,312,32
