move,win,draw,lose,centipawns,moves_to_force_mate,best_line_1_move,best_line_1_centipawns,best_line_1_moves_to_force_mate,best_line_2_move,best_line_2_centipawns,best_line_2_moves_to_force_mate,best_line_3_move,best_line_3_centipawns,best_line_3_moves_to_force_mate,game_id,move_number
d2d4,0.019,0.896,0.085,36.0,,e2e4,44.0,,d2d4,33.0,,g1f3,24.0,,28981,0
d7d5,0.101,0.883,0.016,45.0,,d7d5,45.0,,g8f6,45.0,,e7e6,46.0,,28981,1
g1f3,0.021,0.902,0.077,31.0,,c2c4,47.0,,g1f3,38.0,,e2e3,17.0,,28981,2
e7e6,0.087,0.895,0.018,37.0,,g8f6,37.0,,e7e6,37.0,,c7c6,49.0,,28981,3
c2c4,0.018,0.897,0.085,37.0,,c2c4,47.0,,b2b3,22.0,,e2e3,17.0,,28981,4
g8f6,0.098,0.887,0.015,44.0,,b8d7,42.0,,d5c4,45.0,,g8f6,46.0,,28981,5
b1c3,0.014,0.888,0.098,44.0,,b1c3,32.0,,g2g3,24.0,,c4d5,14.0,,28981,6
f8e7,0.078,0.904,0.018,33.0,,d5c4,42.0,,b8d7,44.0,,f8e7,49.0,,28981,7
c1f4,0.014,0.892,0.094,42.0,,c1f4,50.0,,c1g5,33.0,,g2g3,27.0,,28981,8
e8g8,0.097,0.889,0.014,44.0,,e8g8,56.0,,c7c5,56.0,,d5c4,68.0,,28981,9
e2e3,0.014,0.892,0.094,42.0,,e2e3,50.0,,a1c1,38.0,,a2a3,17.0,,28981,10
b7b6,0.086,0.899,0.015,38.0,,b8d7,36.0,,b7b6,50.0,,c7c5,62.0,,28981,11
f3e5,0.038,0.928,0.034,-2.0,,f1e2,44.0,,f1d3,39.0,,c4d5,37.0,,28981,12
c8b7,0.049,0.925,0.026,13.0,,c8b7,10.0,,c7c5,40.0,,e7b4,46.0,,28981,13
d1a4,0.035,0.93,0.035,0.0,,f1e2,16.0,,d1c2,-5.0,,f1d3,-17.0,,28981,14
c7c5,0.063,0.918,0.019,25.0,,d5c4,-12.0,,a7a6,-6.0,,c7c5,12.0,,28981,15
d4c5,0.048,0.927,0.025,-13.0,,d4c5,4.0,,a1d1,-62.0,,f1e2,-84.0,,28981,16
