move,win,draw,lose,centipawns,moves_to_force_mate,best_line_1_move,best_line_1_centipawns,best_line_1_moves_to_force_mate,best_line_2_move,best_line_2_centipawns,best_line_2_moves_to_force_mate,best_line_3_move,best_line_3_centipawns,best_line_3_moves_to_force_mate,game_id,move_number
a2a4,0.999,0.001,0.0,-393.0,,a2a4,-393.0,,g5f4,-397.0,,b1d2,-416.0,,109,28
e8g8,0.0,0.013,0.987,-287.0,,f7f6,-399.0,,c4d6,-362.0,,h7h6,-313.0,,109,29
b1c3,1.0,0.0,0.0,-406.0,,b1a3,-279.0,,b1d2,-307.0,,a4a5,-380.0,,109,30
f7f6,0.0,0.001,0.999,-387.0,,f7f6,-399.0,,f8c8,-399.0,,h7h6,-392.0,,109,31
g5h4,1.0,0.0,0.0,-576.0,,g5f4,-406.0,,g5e3,-418.0,,g5c1,-467.0,,109,32
g7g5,0.0,0.003,0.997,-332.0,,f8c8,-555.0,,a8c8,-528.0,,h7h5,-454.0,,109,33
h4g3,0.999,0.001,0.0,-360.0,,h4g3,-389.0,,f1e1,-715.0,,f2f4,-730.0,,109,34
a8c8,0.0,0.002,0.998,-351.0,,f8c8,-361.0,,a8c8,-351.0,,h7h6,-322.0,,109,35
b4b5,1.0,0.0,0.0,-661.0,,f1e1,-324.0,,c3e2,-378.0,,f1d1,-382.0,,109,36
c4a5,0.0,0.002,0.998,-336.0,,c4d2,-654.0,,h7h5,-495.0,,f6f5,-400.0,,109,37
a1c1,1.0,0.0,0.0,-676.0,,c3e2,-303.0,,a1a3,-340.0,,c3d1,-497.0,,109,38
a5b3,0.0,0.0,1.0,-662.0,,a5b3,-653.0,,a7a6,-456.0,,c8c4,-438.0,,109,39
c1c2,1.0,0.0,0.0,-684.0,,g3d6,-630.0,,h2h4,-641.0,,c1c2,-646.0,,109,40
b3d4,0.0,0.0,1.0,-640.0,,b3d4,-653.0,,e6e5,-653.0,,c8c4,-616.0,,109,41
c2d2,1.0,0.0,0.0,-699.0,,c2d2,-638.0,,c2c1,-761.0,,c2b2,-815.0,,109,42
d4f5,0.0,0.0,1.0,-646.0,,d4f3,-692.0,,c8c4,-669.0,,d4f5,-662.0,,109,43
c3e2,1.0,0.0,0.0,-676.0,,d2d3,-646.0,,c3e4,-653.0,,c3e2,-684.0,,109,44
c8c4,0.0,0.0,1.0,-705.0,,c8c4,-664.0,,b7b6,-624.0,,f8f7,-612.0,,109,45
f2f4,1.0,0.0,0.0,-676.0,,f2f4,-661.0,,f1a1,-717.0,,f1e1,-723.0,,109,46
c4a4,0.0,0.0,1.0,-700.0,,g5g4,-662.0,,c4a4,-661.0,,h7h6,-655.0,,109,47
f4g5,1.0,0.0,0.0,-723.0,,f4g5,-661.0,,f1e1,-679.0,,e2c3,-708.0,,109,48
d7b5,0.0,0.0,1.0,-613.0,,f5g3,-681.0,,f6g5,-647.0,,d7b5,-597.0,,109,49
