move,win,draw,lose,centipawns,moves_to_force_mate,best_line_1_move,best_line_1_centipawns,best_line_1_moves_to_force_mate,best_line_2_move,best_line_2_centipawns,best_line_2_moves_to_force_mate,best_line_3_move,best_line_3_centipawns,best_line_3_moves_to_force_mate,game_id,move_number
e2e4,0.02,0.9,0.08,33.0,,e2e4,44.0,,d2d4,33.0,,g1f3,24.0,,16206,0
c7c5,0.069,0.907,0.024,25.0,,c7c5,32.0,,e7e5,43.0,,e7e6,52.0,,16206,1
b2b4,0.063,0.912,0.025,-22.0,,g1f3,43.0,,b1c3,38.0,,c2c3,29.0,,16206,2
c5b4,0.019,0.899,0.082,-35.0,,c5b4,-44.0,,d7d5,-36.0,,e7e5,-28.0,,16206,3
d2d4,0.264,0.731,0.005,-98.0,,g1f3,-62.0,,a2a3,-64.0,,d2d4,-71.0,,16206,4
e7e6,0.026,0.917,0.057,-18.0,,d7d5,-72.0,,a7a6,-49.0,,e7e6,-43.0,,16206,5
f2f4,0.438,0.56,0.002,-132.0,,a2a3,-32.0,,g1f3,-54.0,,f1d3,-75.0,,16206,6
d7d5,0.003,0.653,0.344,-113.0,,d7d5,-146.0,,b8c6,-136.0,,g8h6,-120.0,,16206,7
e4e5,0.274,0.722,0.004,-99.0,,e4e5,-144.0,,b1d2,-185.0,,e4d5,-209.0,,16206,8
g7g6,0.016,0.899,0.085,-37.0,,g8h6,-140.0,,b8c6,-125.0,,c8d7,-125.0,,16206,9
g1f3,0.077,0.906,0.017,-33.0,,g1f3,-57.0,,a2a3,-66.0,,f1e2,-92.0,,16206,10
f8g7,0.088,0.897,0.015,39.0,,c8d7,-67.0,,b8c6,-46.0,,a7a6,-23.0,,16206,11
f1d3,0.041,0.927,0.032,-5.0,,a2a3,36.0,,h2h3,17.0,,c1d2,0.0,,16206,12
g8e7,0.067,0.914,0.019,27.0,,c8d7,-11.0,,b8c6,-11.0,,a7a6,-4.0,,16206,13
e1g1,0.037,0.93,0.033,-2.0,,a2a3,24.0,,d1d2,16.0,,e1g1,-12.0,,16206,14
b8c6,0.035,0.93,0.035,0.0,,g7f8,-4.0,,c8d7,-2.0,,b8c6,-2.0,,16206,15
d1e1,0.141,0.851,0.008,-62.0,,g1h1,2.0,,a2a3,-2.0,,c1e3,-4.0,,16206,16
e7f5,0.014,0.903,0.083,-37.0,,g7f8,-66.0,,c8d7,-39.0,,e7f5,-38.0,,16206,17
c1b2,0.151,0.842,0.007,-64.0,,c2c3,-14.0,,a2a3,-44.0,,e1f2,-47.0,,16206,18
a7a5,0.015,0.913,0.072,-31.0,,c8d7,-38.0,,a7a5,-36.0,,h7h5,-34.0,,16206,19
a2a4,0.518,0.481,0.001,-135.0,,a2a3,-19.0,,g2g4,-25.0,,c2c3,-32.0,,16206,20
b4a3,0.254,0.743,0.003,89.0,,h7h5,-126.0,,c8d7,-93.0,,d8c7,-88.0,,16206,21
b1a3,0.007,0.847,0.146,62.0,,b1a3,78.0,,b2a3,-51.0,,b2c3,-102.0,,16206,22
c6b4,0.052,0.928,0.02,18.0,,c6b4,19.0,,g7f8,58.0,,c6a7,69.0,,16206,23
d3b5,0.009,0.885,0.106,48.0,,d3f5,19.0,,d3b5,18.0,,d3e2,9.0,,16206,24
c8d7,0.092,0.897,0.011,42.0,,c8d7,56.0,,b4c6,86.0,,e8f8,128.0,,16206,25
b5d7,0.057,0.926,0.017,-23.0,,g2g4,92.0,,b5d7,-5.0,,e1d2,-63.0,,16206,26
d8d7,0.023,0.936,0.041,-11.0,,d8d7,5.0,,e8d7,167.0,,e8f8,867.0,,16206,27
g2g4,0.032,0.938,0.03,-1.0,,g2g4,-19.0,,b2c3,-106.0,,e1e2,-156.0,,16206,28
f5e7,0.038,0.937,0.025,8.0,,f5e7,-2.0,,f5h6,111.0,,f5d6,383.0,,16206,29
e1e2,0.026,0.939,0.035,5.0,,e1e2,-12.0,,g1g2,-77.0,,h2h3,-83.0,,16206,30
a8c8,0.324,0.674,0.002,99.0,,e8g8,0.0,,b4c6,0.0,,h7h5,36.0,,16206,31
c2c3,0.002,0.695,0.303,95.0,,c2c3,117.0,,h2h3,46.0,,g1g2,34.0,,16206,32
b4c6,0.396,0.603,0.001,110.0,,b4c6,98.0,,b4a6,112.0,,h7h5,285.0,,16206,33
a3b5,0.001,0.607,0.392,109.0,,a3b5,105.0,,f3h4,-5.0,,b2c1,-30.0,,16206,34
e8g8,0.191,0.805,0.004,73.0,,e8g8,94.0,,h7h5,379.0,,e8f8,379.0,,16206,35
b5d6,0.006,0.866,0.128,56.0,,b5d6,50.0,,b2a3,50.0,,g1g2,28.0,,16206,36
c8b8,0.174,0.822,0.004,68.0,,c8b8,32.0,,c8a8,59.0,,c8d8,87.0,,16206,37
b2a3,0.008,0.89,0.102,47.0,,b2a3,54.0,,d6b5,4.0,,e2b5,-74.0,,16206,38
f8d8,0.994,0.006,0.0,300.0,,f7f5,27.0,,b7b5,53.0,,f7f6,65.0,,16206,39
f3h4,0.011,0.92,0.069,32.0,,f4f5,283.0,,f3g5,278.0,,h2h4,101.0,,16206,40
e7c8,0.91,0.09,0.0,200.0,,b7b5,42.0,,d8f8,115.0,,f7f6,129.0,,16206,41
f4f5,0.0,0.24,0.76,160.0,,f4f5,181.0,,a1b1,42.0,,d6c8,-26.0,,16206,42
c8d6,0.823,0.177,0.0,173.0,,b7b5,103.0,,c8d6,174.0,,e6f5,241.0,,16206,43
a3d6,0.0,0.274,0.726,153.0,,a3d6,175.0,,f5g6,-15.0,,e5d6,-201.0,,16206,44
b8c8,0.776,0.224,0.0,162.0,,b8a8,145.0,,b8c8,157.0,,b7b5,165.0,,16206,45
f5g6,0.008,0.9,0.092,43.0,,f1f3,149.0,,f5f6,112.0,,e2e3,92.0,,16206,46
h7g6,0.924,0.076,0.0,202.0,,f7g6,52.0,,h7g6,181.0,,d8f8,622.0,,16206,47
f1f2,0.0,0.038,0.962,225.0,,f1f2,188.0,,h4f3,185.0,,f1f3,97.0,,16206,48
g7f8,0.999,0.001,0.0,352.0,,d8e8,205.0,,d7e8,223.0,,c6e7,237.0,,16206,49
a1f1,0.0,0.003,0.997,305.0,,a1f1,344.0,,e2e3,313.0,,d6f8,251.0,,16206,50
f8d6,0.999,0.001,0.0,332.0,,f8d6,326.0,,d7e8,476.0,,f8e7,493.0,,16206,51
e5d6,0.0,0.001,0.999,357.0,,e5d6,325.0,,f2f7,152.0,,f2f6,-277.0,,16206,52
d8f8,1.0,0.0,0.0,532.0,,d7e8,363.0,,a5a4,366.0,,g8g7,450.0,,16206,53
e2e3,0.0,0.0,1.0,552.0,,e2e3,583.0,,e2d2,569.0,,f2f6,515.0,,16206,54
d7d6,1.0,0.0,0.0,647.0,,d7d6,603.0,,e6e5,623.0,,g8g7,715.0,,16206,55
e3h6,0.0,0.0,1.0,633.0,,f2f6,625.0,,e3h6,523.0,,f2f3,224.0,,16206,56
c6e7,1.0,0.0,0.0,630.0,,c6e7,609.0,,c6d4,825.0,,d6d7,830.0,,16206,57
f2f6,0.0,0.011,0.989,259.0,,h4f3,609.0,,f2f3,360.0,,g1h1,220.0,,16206,58
c8c3,0.999,0.001,0.0,333.0,,c8c3,270.0,,d6d8,600.0,,d6c7,753.0,,16206,59
h4f3,0.026,0.949,0.025,0.0,,h4f5,312.0,,h4f3,94.0,,h4g6,0.0,,16206,60
c3c2,1.0,0.0,0.0,553.0,,c3f3,0.0,,c3c2,546.0,,d6a3,1007.0,,16206,61
f3g5,0.0,0.0,1.0,563.0,,f3e5,715.0,,f3g5,571.0,,h6h4,380.0,,16206,62
c2h2,1.0,0.0,0.0,592.0,,c2h2,578.0,,d6h2,578.0,,d6g3,,4.0,16206,63
h6h2,0.0,0.0,1.0,610.0,,h6h2,589.0,,h6f8,-739.0,,g5e4,-756.0,,16206,64
d6h2,1.0,0.0,0.0,602.0,,d6h2,604.0,,d6g3,,8.0,f8a8,,2.0,16206,65
g1h2,0.0,0.0,1.0,586.0,,g1h2,584.0,,g1h2,584.0,,g1h2,584.0,,16206,66
g8g7,1.0,0.0,0.0,843.0,,e7c6,602.0,,a5a4,633.0,,e7f5,637.0,,16206,67
h2g3,0.0,0.0,1.0,467.0,,f6f7,842.0,,g5e6,617.0,,f6e6,538.0,,16206,68
f8h8,1.0,0.0,0.0,,5.0,e7f5,492.0,,g7g8,596.0,,e7c8,708.0,,16206,69
f6f7,0.0,0.0,1.0,,4.0,f6f7,,5.0,g3g2,753.0,,g5e6,685.0,,16206,70
g1f3,0.019,0.894,0.087,37.0,,e2e4,44.0,,d2d4,33.0,,g1f3,24.0,,16215,0
c7c5,0.084,0.897,0.019,36.0,,d7d5,31.0,,e7e6,35.0,,g8f6,45.0,,16215,1
c2c4,0.013,0.873,0.114,51.0,,c2c4,55.0,,e2e4,46.0,,g2g3,22.0,,16215,2
d7d6,0.228,0.766,0.006,89.0,,b8c6,31.0,,g8f6,50.0,,e7e6,53.0,,16215,3
g2g3,0.012,0.865,0.123,55.0,,d2d4,94.0,,b1c3,61.0,,e2e3,61.0,,16215,4
e7e5,0.086,0.897,0.017,37.0,,g7g6,32.0,,e7e5,57.0,,b8c6,75.0,,16215,5
d2d3,0.014,0.888,0.098,44.0,,f1g2,52.0,,b1c3,52.0,,d2d3,52.0,,16215,6
b8c6,0.11,0.877,0.013,50.0,,g8f6,51.0,,g7g6,53.0,,g8e7,58.0,,16215,7
b1c3,0.01,0.857,0.133,59.0,,f1g2,56.0,,b1c3,35.0,,a2a3,34.0,,16215,8
g8e7,0.132,0.858,0.01,59.0,,g7g6,38.0,,g8e7,38.0,,g8f6,58.0,,16215,9
e2e4,0.026,0.921,0.053,16.0,,a1b1,42.0,,a2a3,40.0,,f1g2,37.0,,16215,10
e7g6,0.104,0.884,0.012,47.0,,g7g6,4.0,,a8b8,5.0,,h7h6,20.0,,16215,11
f1g2,0.012,0.886,0.102,46.0,,h2h4,51.0,,c1d2,49.0,,c3d5,44.0,,16215,12
f8e7,0.13,0.861,0.009,58.0,,h7h5,43.0,,f8e7,47.0,,a7a5,47.0,,16215,13
e1g1,0.014,0.901,0.085,38.0,,a2a3,56.0,,c3d5,52.0,,c1d2,44.0,,16215,14
e8g8,0.141,0.851,0.008,62.0,,h7h5,15.0,,a7a5,54.0,,g6f8,54.0,,16215,15
d1e2,0.061,0.919,0.02,-24.0,,a2a3,59.0,,h2h4,57.0,,c3d5,40.0,,16215,16
f7f5,0.08,0.906,0.014,36.0,,c8g4,-2.0,,f7f5,0.0,,h7h6,16.0,,16215,17
f1e1,0.618,0.381,0.001,-153.0,,e4f5,34.0,,c3d5,-72.0,,h2h3,-75.0,,16215,18
f5f4,0.001,0.371,0.628,-154.0,,f5f4,-156.0,,f5e4,-89.0,,h7h6,-31.0,,16215,19
e2d1,0.761,0.239,0.0,-178.0,,h2h3,-124.0,,e2d1,-184.0,,f3d2,-303.0,,16215,20
c8g4,0.001,0.535,0.464,-126.0,,c8e6,-196.0,,f8f7,-193.0,,c8g4,-154.0,,16215,21
h2h3,0.554,0.445,0.001,-139.0,,h2h3,-135.0,,c3d5,-399.0,,e1f1,-417.0,,16215,22
g4f3,0.001,0.374,0.625,-150.0,,g4e6,-157.0,,g4f3,-140.0,,g4d7,-106.0,,16215,23
g2f3,0.664,0.335,0.001,-156.0,,g2f3,-172.0,,d1f3,-768.0,,d1b3,-1015.0,,16215,24
f4g3,0.018,0.926,0.056,-22.0,,c6d4,-149.0,,e7g5,-115.0,,a7a6,-98.0,,16215,25
f2g3,0.141,0.853,0.006,-61.0,,f2g3,-38.0,,e1f1,-588.0,,g1h1,-743.0,,16215,26
c6d4,0.008,0.879,0.113,-51.0,,c6d4,-54.0,,e7h4,-10.0,,e7g5,-1.0,,16215,27
e1f1,0.213,0.783,0.004,-79.0,,e1f1,-3.0,,f3g2,-31.0,,f3g4,-182.0,,16215,28
e7g5,0.017,0.929,0.054,-21.0,,e7g5,-24.0,,e7h4,-4.0,,a8b8,0.0,,16215,29
g1g2,0.071,0.916,0.013,-32.0,,f3g4,-41.0,,f3h5,-53.0,,g1g2,-53.0,,16215,30
g5c1,0.012,0.916,0.072,-33.0,,d4f3,-31.0,,f8f3,-24.0,,g5c1,-22.0,,16215,31
a1c1,1.0,0.0,0.0,-708.0,,d1c1,-28.0,,a1c1,-678.0,,c3d5,-791.0,,16215,32
d8d7,0.018,0.934,0.048,-18.0,,d8g5,-800.0,,f8f3,-344.0,,d4f3,-326.0,,16215,33
c3d5,0.209,0.788,0.003,-77.0,,c1b1,-25.0,,f3g4,-25.0,,h3h4,-30.0,,16215,34
d4f3,0.02,0.939,0.041,-12.0,,g6e7,-85.0,,a8d8,-34.0,,d7d8,-21.0,,16215,35
f1f3,0.045,0.937,0.018,-16.0,,f1f3,-13.0,,d1f3,-519.0,,b2b3,-831.0,,16215,36
h7h6,0.029,0.943,0.028,0.0,,g6e7,-9.0,,f8f3,-2.0,,a8b8,4.0,,16215,37
d1e2,0.026,0.943,0.031,3.0,,f3f1,0.0,,d1e2,0.0,,f3f8,0.0,,16215,38
g6e7,0.085,0.906,0.009,40.0,,f8f3,0.0,,g6e7,30.0,,b7b5,40.0,,16215,39
c1f1,0.019,0.94,0.041,13.0,,c1f1,39.0,,d5e7,22.0,,f3f8,0.0,,16215,40
e7d5,0.045,0.938,0.017,17.0,,e7d5,17.0,,f8f3,18.0,,e7c6,27.0,,16215,41
e4d5,0.023,0.943,0.034,7.0,,e4d5,19.0,,c4d5,1.0,,f3f8,-1.0,,16215,42
f8f3,0.051,0.934,0.015,22.0,,a7a5,4.0,,b7b5,5.0,,f8f3,13.0,,16215,43
e2f3,0.025,0.945,0.03,3.0,,f1f3,0.0,,e2f3,0.0,,g2f3,-401.0,,16215,44
d7e7,0.065,0.924,0.011,30.0,,b7b5,0.0,,a8b8,17.0,,a7a6,18.0,,16215,45
b2b3,0.029,0.945,0.026,-1.0,,f3g4,26.0,,a2a3,1.0,,f1f2,0.0,,16215,46
a7a6,0.068,0.922,0.01,32.0,,a8f8,-15.0,,a8e8,0.0,,b7b6,0.0,,16215,47
a2a4,0.026,0.947,0.027,0.0,,f3g4,0.0,,f1f2,0.0,,a2a4,0.0,,16215,48
b7b5,0.121,0.874,0.005,53.0,,a6a5,0.0,,a8f8,0.0,,b7b5,18.0,,16215,49
a4b5,0.027,0.947,0.026,0.0,,f3g4,15.0,,f1f2,0.0,,a4b5,0.0,,16215,50
a6b5,0.026,0.947,0.027,0.0,,a6b5,-7.0,,e7b7,109.0,,e7e8,156.0,,16215,51
f1f2,0.026,0.947,0.027,0.0,,f3g4,0.0,,f1f2,-6.0,,f3f5,-6.0,,16215,52
b5c4,0.026,0.948,0.026,0.0,,b5c4,-10.0,,e7d7,-2.0,,b5b4,0.0,,16215,53
b3c4,0.036,0.945,0.019,-10.0,,b3c4,0.0,,d3c4,-58.0,,f3d1,-394.0,,16215,54
a8a3,0.061,0.928,0.011,28.0,,a8f8,0.0,,a8e8,0.0,,a8b8,7.0,,16215,55
f2d2,0.036,0.946,0.018,-11.0,,f3g4,30.0,,h3h4,30.0,,f3f5,22.0,,16215,56
e5e4,0.036,0.946,0.018,11.0,,e7g5,-25.0,,a3a8,0.0,,e5e4,8.0,,16215,57
f3e4,0.026,0.949,0.025,0.0,,f3e3,0.0,,f3e4,-1.0,,f3e2,-74.0,,16215,58
e7e4,0.025,0.949,0.026,0.0,,e7e4,0.0,,a3a7,295.0,,e7f6,303.0,,16215,59
d3e4,0.025,0.949,0.026,0.0,,d3e4,0.0,,g2f2,-6293.0,,g2h2,,-10.0,16215,60
g8f7,0.023,0.949,0.028,-3.0,,a3e3,0.0,,g8f7,4.0,,g8f8,29.0,,16215,61
d2f2,0.026,0.949,0.025,0.0,,d2b2,4.0,,d2f2,0.0,,e4e5,0.0,,16215,62
f7e7,0.026,0.949,0.025,0.0,,f7e7,-8.0,,f7e8,20.0,,f7g8,61.0,,16215,63
f2f3,0.07,0.921,0.009,-33.0,,f2b2,0.0,,e4e5,-22.0,,f2f3,-28.0,,16215,64
a3a2,0.025,0.949,0.026,0.0,,a3a4,-28.0,,a3a2,-10.0,,a3a1,0.0,,16215,65
f3f2,0.038,0.945,0.017,-13.0,,f3f2,0.0,,g2f1,-169.0,,g2g1,-174.0,,16215,66
a2a3,0.026,0.949,0.025,0.0,,a2a4,-18.0,,a2a3,0.0,,a2a1,0.0,,16215,67
f2f3,0.059,0.931,0.01,-27.0,,e4e5,-11.0,,f2b2,-21.0,,f2f3,-43.0,,16215,68
a3a2,0.018,0.946,0.036,-11.0,,a3a4,-39.0,,a3a2,-9.0,,a3a1,0.0,,16215,69
f3f2,0.043,0.942,0.015,-17.0,,f3f2,-6.0,,g2f1,-137.0,,g2g1,-186.0,,16215,70
a2a3,0.025,0.95,0.025,0.0,,a2a4,-7.0,,a2a3,0.0,,a2a1,0.0,,16215,71
f2f3,0.071,0.92,0.009,-34.0,,e4e5,0.0,,f2b2,-7.0,,f2f3,-39.0,,16215,72
a3a1,0.026,0.949,0.025,0.0,,a3a4,-39.0,,a3a2,-7.0,,a3a1,0.0,,16215,73
f3f2,0.047,0.94,0.013,-20.0,,f3b3,0.0,,e4e5,0.0,,f3f2,0.0,,16215,74
a1c1,0.013,0.94,0.047,-20.0,,a1c1,-7.0,,a1a4,0.0,,a1a3,0.0,,16215,75
e4e5,0.671,0.329,0.0,-136.0,,g2f3,0.0,,h3h4,-13.0,,f2f1,-46.0,,16215,76
d6e5,0.0,0.208,0.792,-155.0,,d6e5,-160.0,,c1c4,-28.0,,e7e8,0.0,,16215,77
f2e2,0.823,0.177,0.0,-161.0,,f2e2,-142.0,,f2b2,-165.0,,f2a2,-180.0,,16215,78
e7d6,0.025,0.949,0.026,0.0,,c1c4,-141.0,,e7f6,-80.0,,e7d6,0.0,,16215,79
e2e4,0.026,0.949,0.025,0.0,,e2e4,0.0,,e2a2,-584.0,,e2b2,-607.0,,16215,80
c1d1,0.03,0.948,0.022,5.0,,c1c2,0.0,,c1c3,0.0,,g7g6,0.0,,16215,81
g2f3,0.026,0.949,0.025,0.0,,e4g4,22.0,,g2f2,0.0,,h3h4,0.0,,16215,82
g7g5,0.026,0.949,0.025,0.0,,d1d3,0.0,,h6h5,0.0,,g7g5,0.0,,16215,83
h3h4,0.025,0.949,0.026,0.0,,h3h4,0.0,,f3e2,0.0,,e4g4,0.0,,16215,84
d1d4,0.026,0.949,0.025,0.0,,d1d3,0.0,,d1d2,0.0,,d1d4,13.0,,16215,85
h4g5,0.025,0.949,0.026,0.0,,h4h5,3.0,,e4g4,0.0,,h4g5,0.0,,16215,86
h6g5,0.026,0.949,0.025,0.0,,h6g5,1.0,,d4d5,677.0,,d4d3,745.0,,16215,87
f3e3,0.026,0.948,0.026,0.0,,e4g4,5.0,,f3e3,0.0,,e4d4,0.0,,16215,88
d4d1,0.026,0.948,0.026,0.0,,g5g4,0.0,,d4d1,5.0,,d6c7,13.0,,16215,89
e3f3,0.026,0.947,0.027,0.0,,e3f3,5.0,,e4g4,5.0,,e3f2,0.0,,16215,90
d1d4,0.027,0.947,0.026,0.0,,d1d3,0.0,,d1d2,0.0,,d1d4,5.0,,16215,91
f3e3,0.027,0.947,0.026,0.0,,e4g4,5.0,,e4d4,0.0,,f3e3,0.0,,16215,92
d4d1,0.027,0.947,0.026,0.0,,g5g4,0.0,,d4d1,5.0,,d6c7,7.0,,16215,93
e3f3,0.026,0.947,0.027,0.0,,e4g4,5.0,,e3f3,5.0,,e3e2,0.0,,16215,94
d1d4,0.027,0.947,0.026,0.0,,d1d4,5.0,,d1d2,10.0,,d1d3,14.0,,16215,95
f3e3,0.027,0.947,0.026,0.0,,e4g4,2.0,,f3e3,0.0,,e4d4,0.0,,16215,96
d4d1,0.027,0.946,0.027,0.0,,g5g4,0.0,,d4d1,9.0,,d6d7,16.0,,16215,97
e3f3,0.027,0.945,0.028,0.0,,e4g4,7.0,,e3f3,7.0,,e3e2,0.0,,16215,98
d2d4,0.019,0.896,0.085,36.0,,e2e4,44.0,,d2d4,33.0,,g1f3,24.0,,16225,0
d7d6,0.171,0.82,0.009,74.0,,d7d5,45.0,,g8f6,45.0,,e7e6,46.0,,16225,1
c2c4,0.017,0.889,0.094,41.0,,b1c3,75.0,,e2e4,75.0,,g1f3,70.0,,16225,2
c7c6,0.277,0.719,0.004,101.0,,e7e5,49.0,,g7g6,82.0,,g8f6,82.0,,16225,3
b1c3,0.004,0.725,0.271,100.0,,e2e4,114.0,,b1c3,104.0,,g1f3,97.0,,16225,4
g7g6,0.355,0.642,0.003,117.0,,d6d5,97.0,,g8f6,114.0,,e7e5,114.0,,16225,5
